poison_rate,clean_accuracy,attack_success_rate,detect_precision,detect_recall,detect_f1
0.0025,0.99,0.056338028169014086,0.0,0.0,0.0
0.005,0.99,0.21830985915492956,0.0,0.0,0.0
0.01,0.99,0.31690140845070425,0.024509803921568627,0.5555555555555556,0.046948356807511735
0.02,0.99,0.6338028169014085,0.11842105263157894,1.0,0.2117647058823529
0.05,0.99,0.8943661971830986,1.0,1.0,1.0
0.1,0.9933333333333333,0.971830985915493,1.0,1.0,1.0
